0,PU,2013,,първи курс,втори курс,трети курс,четвърти курс,пети курс
73,PU,2013,Маркетинг (проф. направление Икономика),127,91,121,157,0
74,PU,2013,Международни икономически отношения (проф. направление Икономика),82,61,77,77,0
75,PU,2013,Финанси (проф. направление Икономика),130,93,0,0,0
76,PU,2013,Маркетинг (след проф.бакалавър) (проф. направление Икономика),0,1,0,0,0
77,PU,2013,Инженерна физика (проф. направление Физически науки),56,10,18,15,0
78,PU,2013,Информационна физика и комуникации (проф. направление Физически науки),1,21,20,22,0
79,PU,2013,Медицинска физика (проф. направление Физически науки),0,9,18,18,0
80,PU,2013,Телекомуникации с мениджмънт (проф. направление Физически науки),39,0,0,0,0
81,PU,2013,Информационна физика и телекомуникации (проф. направление Физически науки),29,0,0,0,0
82,PU,2013,Компютърна химия (проф. направление Химически науки),6,16,14,16,0
83,PU,2013,Химия (проф. направление Химически науки),29,23,28,28,0
84,PU,2013,Медицинска химия (проф. направление Химически науки),43,41,29,25,0
85,PU,2013,Химия и маркетинг (проф. направление Химически науки),24,25,14,27,0
86,PU,2013,Химия с английски език (проф. направление Химически науки),0,12,0,0,0
87,PU,2013,Биология (проф. направление Биологически науки),55,55,40,50,0
88,PU,2013,Екология и опазване на околната среда (проф. направление Биологически науки),61,49,44,48,0
89,PU,2013,Молекулярна биология (проф. направление Биологически науки),44,34,36,39,0
90,PU,2013,Биоинформатика (проф. направление Биологически науки),22,23,19,17,0
91,PU,2013,Медицинска биология (проф. направление Биологически науки),46,47,47,43,0
92,PU,2013,Екология на биотехнологичните производства (проф. направление Биологически науки),15,19,19,23,0
93,PU,2013,Математика (проф. направление Математика),6,0,9,0,0
94,PU,2013,Приложна математика (проф. направление Математика),0,7,1,14,0
95,PU,2013,Бизнес математика (проф. направление Математика),11,9,0,0,0
96,PU,2013,Информатика (проф. направление Информатика и компютърни науки),116,128,102,117,0
97,PU,2013,Бизнес информационни технологии (проф. направление Информатика и компютърни науки),144,156,149,140,0
98,PU,2013,Софтуерни технологии и дизайн (проф. направление Информатика и компютърни науки),188,0,0,0,0
99,PU,2013,Поп и джаз пеене (проф. направление Музикално и танцово изкуство),15,17,8,10,0
100,PU,2013,Музика (проф. направление Музикално и танцово изкуство),14,0,0,0,0
101,PU,2013,Актьорство за драматичен театър (проф. направление Театрално и филмово изкуство),17,12,12,14,0
0,PU,2014,,първи курс,втори курс,трети курс,четвърти курс,пети курс
1,PU,2014,Начална училищна педагогика и чужд език (проф. направление Педагогика),59,62,77,75,0
2,PU,2014,Педагогика (проф. направление Педагогика),31,33,31,27,0
3,PU,2014,Предучилищна и начална училищна педагогика (проф. направление Педагогика),136,133,107,102,1
4,PU,2014,Предучилищна педагогика и чужд език (проф. направление Педагогика),46,38,33,42,0
5,PU,2014,Социална педагогика (проф. направление Педагогика),51,47,47,42,0
6,PU,2014,Специална педагогика (проф. направление Педагогика),45,42,44,28,0
7,PU,2014,Педагогика на обучението по биология и физика (проф. направление Педагогика на обучението по ...),1,0,5,9,0
8,PU,2014,Педагогика на обучението по изобразително изкуство (проф. направление Педагогика на обучението по ...),21,13,11,11,0
9,PU,2014,Педагогика на обучението по музика (проф. направление Педагогика на обучението по ...),9,16,17,19,0
10,PU,2014,Педагогика на обучението по английски и френски език (проф. направление Педагогика на обучението по ...),0,0,0,1,0
11,PU,2014,Български език и Английски език (проф. направление Педагогика на обучението по ...),21,19,23,16,0
12,PU,2014,Английски език и физика (проф. направление Педагогика на обучението по ...),0,0,1,0,0
13,PU,2014,Биология и английски език (проф. направление Педагогика на обучението по ...),31,17,14,0,0
14,PU,2014,"Информационни технологии математика и образователен мениджмънт (проф. направление Педагогика на обучението по ...)",16,0,0,0,0
15,PU,2014,Математика и информатика (проф. направление Педагогика на обучението по ...),42,8,11,25,0
16,PU,2014,Български език и история (проф. направление Педагогика на обучението по ...),76,41,32,53,0
17,PU,2014,Физика и математика (проф. направление Педагогика на обучението по ...),0,0,5,9,0
18,PU,2014,Химия и физика (проф. направление Педагогика на обучението по ...),0,1,2,4,0
19,PU,2014,Български език и италиански език (проф. направление Педагогика на обучението по ...),26,11,12,0,0
20,PU,2014,Български език и руски език (проф. направление Педагогика на обучението по ...),9,15,13,10,0
21,PU,2014,Български език и испански език (проф. направление Педагогика на обучението по ...),15,2,7,6,0
22,PU,2014,Български език и новогръцки език (проф. направление Педагогика на обучението по ...),16,7,11,8,0
23,PU,2014,Български език и турски език (проф. направление Педагогика на обучението по ...),26,27,25,19,0
24,PU,2014,Български език и китайски език (проф. направление Педагогика на обучението по ...),9,9,5,8,0
25,PU,2014,Български език и корейски език (проф. направление Педагогика на обучението по ...),11,0,0,0,0
26,PU,2014,Биология и химия (проф. направление Педагогика на обучението по ...),12,23,7,15,0
27,PU,2014,Физическо възпитание (проф. направление Педагогика на обучението по ...),96,91,88,100,0
28,PU,2014,Руски език и западен език (проф. направление Педагогика на обучението по ...),0,0,5,4,0
29,PU,2014,Български език и френски език (проф. направление Педагогика на обучението по ...),0,0,0,1,0
30,PU,2014,Български език и немски език (проф. направление Педагогика на обучението по ...),0,0,0,1,0
31,PU,2014,Педагогика на обучението по бит и технологии (проф. направление Педагогика на обучението по ...),21,19,24,12,0
32,PU,2014,Физика с информационни технологии (проф. направление Педагогика на обучението по ...),8,0,0,0,0
33,PU,2014,Английска филология (проф. направление Филология),102,99,92,76,0
34,PU,2014,Българска филология (проф. направление Филология),161,121,132,117,0
35,PU,2014,Приложна лингвистика (английски и немски език) (проф. направление Филология),0,5,9,7,0
36,PU,2014,Приложна лингвистика (английски и руски език) (проф. направление Филология),0,0,0,2,0
37,PU,2014,Приложна лингвистика (немски и турски език) (проф. направление Филология),0,0,0,1,0
38,PU,2014,Руска филология (проф. направление Филология),18,26,24,23,0
39,PU,2014,Френска филология (проф. направление Филология),5,2,4,0,0
40,PU,2014,Приложна лингвистика (английски и испански език) (проф. направление Филология),0,19,18,19,0
41,PU,2014,Приложна лингвистика (английски и новогръцки език) (проф. направление Филология),0,0,1,2,0
42,PU,2014,Приложна лингвистика (английски и турски език) (проф. направление Филология),0,0,0,2,0
43,PU,2014,Приложна лингвистика (немски и испански език) (проф. направление Филология),0,5,8,3,0
44,PU,2014,Приложна лингвистика (немски и новогръцки език) (проф. направление Филология),0,0,0,1,0
45,PU,2014,Приложна лингвистика (френски и испански език) (проф. направление Филология),0,3,2,4,0
46,PU,2014,Лингвистика с информационни технологии (английски и немски език) (проф. направление Филология),27,21,23,11,0
47,PU,2014,Лингвистика с информационни технологии (английски и френски език) (проф. направление Филология),10,20,11,13,0
48,PU,2014,Приложна лингвистика (немски и английски език) (проф. направление Филология),0,4,0,5,0
49,PU,2014,Приложна лингвистика (френски и английски език) (проф. направление Филология),0,7,3,2,0
50,PU,2014,Приложна лингвистика (английски език с френски език) (проф. направление Филология),0,0,0,2,0
51,PU,2014,Лингвистика с информационни технологии (английски език с испански език) (проф. направление Филология),20,21,19,21,0
52,PU,2014,Приложна лингвистика (английски език с китайски език) (проф. направление Филология),0,12,13,6,0
53,PU,2014,Приложна лингвистика (немски език с китайски език) (проф. направление Филология),0,1,2,0,0
54,PU,2014,Приложна лингвистика (западен език с руски език) (проф. направление Филология),0,14,13,0,0
55,PU,2014,Приложна лингвистика (английски език с италиански език) (проф. направление Филология),0,11,21,0,0
