0,PU,2013,,първи курс,втори курс,трети курс,четвърти курс,пети курс
47,RuU,2015,Растениевъдство (проф. направление Растениевъдство),10,21,0,0,0,0
48,RuU,2015,Кинезитерапия (проф. направление Обществено здраве),38,48,69,71,0,0
49,RuU,2015,Ерготерапия (проф. направление Обществено здраве),20,12,19,15,0,0
50,RuU,2015,Акушерка (проф. направление Здравни грижи),23,22,23,17,0,1
51,RuU,2015,Медицинска сестра (проф. направление Здравни грижи),43,57,29,39,0,0
52,RuU,2015,За неразпределени по професионални направления студенти (проф. направление ),0,0,0,0,0,0
0,RuU,2016,,първи курс,втори курс,трети курс,четвърти курс,пети курс,дипломант (в срок)
1,RuU,2016,Начална училищна педагогика и чужд език (проф. направление Педагогика),18,21,18,17,0,5
2,RuU,2016,Предучилищна и начална училищна педагогика (проф. направление Педагогика),92,48,58,38,24,8
3,RuU,2016,Социална педагогика (проф. направление Педагогика),60,50,52,15,0,3
4,RuU,2016,Педагогика на обучението по математика и информатика (проф. направление Педагогика на обучението по ...),0,0,6,0,0,0
5,RuU,2016,Български език и история (проф. направление Педагогика на обучението по ...),7,8,20,13,0,10
6,RuU,2016,Европеистика и многостепенно управление (проф. направление Политически науки),0,10,8,14,0,1
7,RuU,2016,Европеистика и глобалистика (проф. направление Политически науки),14,5,7,9,0,1
8,RuU,2016,Социални дейности (проф. направление Социални дейности),41,37,37,34,0,0
9,RuU,2016,Публична администрация (проф. направление Администрация и управление),13,24,22,12,0,0
10,RuU,2016,Стопанско управление (проф. направление Администрация и управление),0,0,0,0,1,3
11,RuU,2016,Бизнес мениджмънт (проф. направление Администрация и управление),96,58,51,55,22,1
12,RuU,2016,Икономика (проф. направление Икономика),24,15,13,19,0,0
13,RuU,2016,Маркетинг (проф. направление Икономика),44,49,53,47,24,0
14,RuU,2016,Международни икономически отношения (проф. направление Икономика),12,15,13,11,0,0
15,RuU,2016,Финансова математика (проф. направление Математика),7,9,5,21,0,0
16,RuU,2016,Компютърни науки (проф. направление Информатика и компютърни науки),44,26,32,31,14,15
17,RuU,2016,Информатика и информационни технологии в бизнеса (проф. направление Информатика и компютърни науки),19,18,20,24,12,7
18,RuU,2016,Земеделска техника и технологии (проф. направление Машинно инженерство),43,28,20,44,30,0
19,RuU,2016,Машинно инженерство (проф. направление Машинно инженерство),36,23,29,33,27,0
20,RuU,2016,Мениджмънт и сервиз на техниката (проф. направление Машинно инженерство),18,5,7,21,10,0
21,RuU,2016,"Климатизация хидравлика и газификация (проф. направление Машинно инженерство)",28,14,11,38,14,0
22,RuU,2016,Механотехника и мехатроника (проф. направление Машинно инженерство),0,0,1,12,3,0
23,RuU,2016,"Автоматика информационна и управляваща техника (проф. направление Електротехника електроника и автоматика)",0,0,0,0,0,5
24,RuU,2016,"Електроенергетика и електрообзавеждане (проф. направление Електротехника електроника и автоматика)",33,35,37,36,17,8
25,RuU,2016,"Електроника (проф. направление Електротехника електроника и автоматика)",38,11,16,23,13,5
26,RuU,2016,"Компютърно управление и автоматизация (проф. направление Електротехника електроника и автоматика)",25,26,35,34,21,0
27,RuU,2016,Компютърни системи и технологии (проф. направление Комуникационна и компютърна техника),103,86,86,88,18,29
28,RuU,2016,Телекомуникационни системи (проф. направление Комуникационна и компютърна техника),0,0,13,26,10,7
29,RuU,2016,Информационни и комуникационни технологии (проф. направление Комуникационна и компютърна техника),12,7,18,27,0,5
30,RuU,2016,Интернет и мобилни комуникации (проф. направление Комуникационна и компютърна техника),35,28,0,0,0,0
31,RuU,2016,"Технология и управление на транспорта (проф. направление Транспорт корабоплаване и авиация)",109,61,57,57,36,0
32,RuU,2016,"Транспортна техника и технологии (проф. направление Транспорт корабоплаване и авиация)",72,52,54,60,25,2
33,RuU,2016,"Експлоатация на флота и пристанищата (проф. направление Транспорт корабоплаване и авиация)",0,0,0,13,0,0
34,RuU,2016,Материалознание и технологии (проф. направление Материали и материалознание),2,0,5,9,5,0
35,RuU,2016,"Строително инженерство (проф. направление Архитектура строителство и геодезия)",27,15,21,0,0,0
36,RuU,2016,Аграрно инженерство (проф. направление Общо инженерство),24,20,20,22,0,0
37,RuU,2016,Екология и техника за опазване на околната среда (проф. направление Общо инженерство),14,14,17,21,0,1
38,RuU,2016,Индустриален мениджмънт (проф. направление Общо инженерство),61,23,57,48,38,2
39,RuU,2016,Индустриално инженерство (проф. направление Общо инженерство),27,8,15,21,0,0
40,RuU,2016,Промишлен дизайн (проф. направление Общо инженерство),23,14,19,44,0,0
41,RuU,2016,Мениджмънт на качеството и метрология (проф. направление Общо инженерство),7,6,5,10,0,0
42,RuU,2016,Евроатлантическа и глобална сигурност (проф. направление Общо инженерство),0,22,0,0,0,0
43,RuU,2016,Сигурност за граждани и собственост в трансгранична среда (проф. направление Общо инженерство),0,1,0,0,0,0
44,RuU,2016,Растениевъдство (проф. направление Растениевъдство),18,7,21,0,0,0
45,RuU,2016,Кинезитерапия (проф. направление Обществено здраве),44,33,42,68,0,0
46,RuU,2016,Ерготерапия (проф. направление Обществено здраве),19,17,12,18,0,0
47,RuU,2016,Акушерка (проф. направление Здравни грижи),25,19,22,23,0,0
48,RuU,2016,Медицинска сестра (проф. направление Здравни грижи),48,42,57,29,0,0
49,RuU,2016,Противодействие на престъпността и опазване на обществения ред (проф. направление Национална сигурност),7,0,0,0,0,0
50,RuU,2016,Евроатлантическа и глобална сигурност (проф. направление Национална сигурност),10,0,0,0,0,0
0,SWU,2013,,първи курс,втори курс,трети курс,четвърти курс,дипломант (отчислен с право на дипломиране)
1,SWU,2013,ПН - Педагогика (за неразпределени по специалности студенти) (проф. направление Педагогика),163,151,0,0,0
2,SWU,2013,Начална училищна педагогика и чужд език (проф. направление Педагогика),0,0,21,27,2
3,SWU,2013,Педагогика (проф. направление Педагогика),0,0,0,22,9
4,SWU,2013,Предучилищна и начална училищна педагогика (проф. направление Педагогика),63,44,114,85,2
5,SWU,2013,Предучилищна педагогика и чужд език (проф. направление Педагогика),0,0,27,28,9
6,SWU,2013,Социална педагогика (проф. направление Педагогика),0,0,25,38,11
7,SWU,2013,Специална педагогика (проф. направление Педагогика),0,0,9,12,9
8,SWU,2013,Начална училищна педагогика (проф. направление Педагогика),0,0,3,14,2
9,SWU,2013,Предучилищна педагогика (проф. направление Педагогика),0,0,0,0,1
10,SWU,2013,Педагогика на обучението по български език и чужд език (проф. направление Педагогика на обучението по ...),0,11,0,0,6
11,SWU,2013,Педагогика на обучението по изобразително изкуство (проф. направление Педагогика на обучението по ...),0,13,17,21,6
12,SWU,2013,Педагогика на обучението по математика и информатика (проф. направление Педагогика на обучението по ...),0,8,14,19,9
13,SWU,2013,Педагогика на обучението по музика (проф. направление Педагогика на обучението по ...),0,14,13,10,2
14,SWU,2013,Педагогика на обучението по техника и технологии (проф. направление Педагогика на обучението по ...),0,27,34,42,13
15,SWU,2013,Педагогика на обучението по физика и математика (проф. направление Педагогика на обучението по ...),0,5,6,4,26
16,SWU,2013,Педагогика на обучението по химия и физика (проф. направление Педагогика на обучението по ...),0,9,10,8,16
17,SWU,2013,Педагогика на обучението по физическо възпитание (проф. направление Педагогика на обучението по ...),0,61,63,51,34
18,SWU,2013,Педагогика на обучението по география и история (проф. направление Педагогика на обучението по ...),0,42,49,38,28
19,SWU,2013,Математика и информатика (проф. направление Педагогика на обучението по ...),5,0,0,0,0
20,SWU,2013,Физика и математика (проф. направление Педагогика на обучението по ...),1,0,0,0,0
21,SWU,2013,Български език и чужд език (проф. направление Педагогика на обучението по ...),13,0,0,0,0
22,SWU,2013,Педагогика на музикалното изкуство (проф. направление Педагогика на обучението по ...),7,0,0,0,0
23,SWU,2013,Изобразително изкуство (проф. направление Педагогика на обучението по ...),14,0,0,0,0
24,SWU,2013,"Техника технологии и предприемачество (проф. направление Педагогика на обучението по ...)",21,0,0,0,0
25,SWU,2013,Физическо възпитание и спорт (проф. направление Педагогика на обучението по ...),70,0,0,0,0
26,SWU,2013,География и история (проф. направление Педагогика на обучението по ...),32,0,0,0,0
27,SWU,2013,Английска филология (проф. направление Филология),48,31,28,31,18
28,SWU,2013,Българска филология (проф. направление Филология),70,76,81,72,26
29,SWU,2013,Приложна лингвистика (английски и немски език) (проф. направление Филология),14,11,15,10,5
30,SWU,2013,Приложна лингвистика (английски и руски език) (проф. направление Филология),16,13,8,13,3
31,SWU,2013,Приложна лингвистика (проф. направление Филология),0,0,0,0,11
32,SWU,2013,Чужд език и етнология (проф. направление Филология),9,13,14,13,9
33,SWU,2013,Приложна лингвистика (англиски и френски език) (проф. направление Филология),7,4,11,7,7
34,SWU,2013,Приложна лингвистика (английски и гръцки език) (проф. направление Филология),7,4,5,5,5
35,SWU,2013,Приложна лингвистика (немски и английски език) (проф. направление Филология),0,0,0,6,2
36,SWU,2013,Приложна лингвистика (френски и английски език) (проф. направление Филология),0,0,0,8,4
37,SWU,2013,Приложна лингвистика (руски и английски език) (проф. направление Филология),0,11,0,0,0
38,SWU,2013,История (проф. направление История и археология),17,33,30,40,38
39,SWU,2013,Философия (проф. направление Философия),62,56,47,27,13
40,SWU,2013,"Социология (проф. направление Социология антропология и науки за културата)",64,69,59,60,13
41,SWU,2013,"Културология (проф. направление Социология антропология и науки за културата)",11,17,10,16,7
42,SWU,2013,"Култура и медии (проф. направление Социология антропология и науки за културата)",28,20,27,27,8
43,SWU,2013,Психология (проф. направление Психология),112,82,94,98,20
44,SWU,2013,Политология (проф. направление Политически науки),26,18,26,18,2
45,SWU,2013,Европеистика (проф. направление Политически науки),27,23,25,27,7
46,SWU,2013,Публична администрация (проф. направление Политически науки),0,0,0,0,17
47,SWU,2013,Международни отношения (проф. направление Политически науки),80,52,59,60,18
48,SWU,2013,Социални дейности (проф. направление Социални дейности),63,54,58,63,31
49,SWU,2013,Връзки с обществеността (проф. направление Обществени комуникации и информационни науки),87,65,74,89,19
50,SWU,2013,Публична администрация (проф. направление Администрация и управление),98,61,92,122,45
51,SWU,2013,Стопанско управление (проф. направление Администрация и управление),105,64,96,94,25
52,SWU,2013,ПН - Икономика (за неразпределени по специалности студенти) (проф. направление Икономика),174,164,0,0,0
53,SWU,2013,Икономика на социално-културната сфера (проф. направление Икономика),0,0,16,18,18
54,SWU,2013,Маркетинг (проф. направление Икономика),0,0,29,37,9
55,SWU,2013,Международни икономически отношения (проф. направление Икономика),35,32,27,27,0
56,SWU,2013,Счетоводство и контрол (проф. направление Икономика),21,22,70,99,30
57,SWU,2013,Финанси (проф. направление Икономика),1,1,66,87,55
58,SWU,2013,Туризъм (проф. направление Туризъм),98,76,66,63,44
59,SWU,2013,Физика (проф. направление Физически науки),11,13,17,12,35
60,SWU,2013,Химия (проф. направление Химически науки),2,15,13,19,16
61,SWU,2013,Медицинска химия (проф. направление Химически науки),24,0,0,0,0
62,SWU,2013,География (проф. направление Науки за земята),30,31,34,32,22
63,SWU,2013,Екология и опазване на околната среда (проф. направление Науки за земята),60,37,41,38,25
64,SWU,2013,Информатика (проф. направление Информатика и компютърни науки),48,44,48,57,42
65,SWU,2013,Компютърни системи и технологии (проф. направление Комуникационна и компютърна техника),74,55,76,90,67
66,SWU,2013,Кинезитерапия (проф. направление Обществено здраве),50,54,43,58,7
67,SWU,2013,Логопедия (проф. направление Обществено здраве),21,21,30,26,13
68,SWU,2013,Промишлени изкуства (Мода) (проф. направление Изобразително изкуство),12,18,10,15,8
69,SWU,2013,Българска народна хореография (проф. направление Музикално и танцово изкуство),17,11,9,12,14
70,SWU,2013,Музикален театър (проф. направление Музикално и танцово изкуство),0,2,0,0,0
71,SWU,2013,Изпълнителско изкуство (народни инструменти или народно пеене) (проф. направление Музикално и танцово изкуство),8,6,8,8,0
72,SWU,2013,Изпълнителско изкуство (поп и джаз пеене) (проф. направление Музикално и танцово изкуство),3,1,0,0,0
73,SWU,2013,Филмов и телевизионен монтаж (проф. направление Театрално и филмово изкуство),11,11,8,8,4
74,SWU,2013,Филмова и телевизионна режисура (проф. направление Театрално и филмово изкуство),8,9,10,4,3
75,SWU,2013,Филмово и телевизионно операторство (проф. направление Театрално и филмово изкуство),16,7,9,6,10
76,SWU,2013,Актьорско майсторство (проф. направление Театрално и филмово изкуство),8,15,12,6,0
0,SWU,2014,,първи курс,втори курс,трети курс,четвърти курс,дипломант (отчислен с право на дипломиране)
1,SWU,2014,ПН - Педагогика (за неразпределени по специалности студенти) (проф. направление Педагогика),0,143,0,0,0
2,SWU,2014,Начална училищна педагогика и чужд език (проф. направление Педагогика),28,0,19,21,8
3,SWU,2014,Педагогика (проф. направление Педагогика),0,0,0,1,13
4,SWU,2014,Предучилищна и начална училищна педагогика (проф. направление Педагогика),124,64,86,112,11
5,SWU,2014,Предучилищна педагогика и чужд език (проф. направление Педагогика),30,0,33,24,12
6,SWU,2014,Социална педагогика (проф. направление Педагогика),20,0,28,21,18
7,SWU,2014,Специална педагогика (проф. направление Педагогика),15,0,9,9,10
8,SWU,2014,Начална училищна педагогика (проф. направление Педагогика),0,0,1,3,2
9,SWU,2014,Предучилищна педагогика (проф. направление Педагогика),0,0,0,0,1
10,SWU,2014,Педагогика и образователен мениджмънт (проф. направление Педагогика),20,0,13,0,0
11,SWU,2014,Педагогика на обучението по български език и чужд език (проф. направление Педагогика на обучението по ...),0,0,11,0,1
12,SWU,2014,Педагогика на обучението по изобразително изкуство (проф. направление Педагогика на обучението по ...),0,0,14,17,8
13,SWU,2014,Педагогика на обучението по математика и информатика (проф. направление Педагогика на обучението по ...),0,0,6,12,16
14,SWU,2014,Педагогика на обучението по музика (проф. направление Педагогика на обучението по ...),0,0,11,16,2
15,SWU,2014,Педагогика на обучението по техника и технологии (проф. направление Педагогика на обучението по ...),0,0,28,32,13
16,SWU,2014,Педагогика на обучението по физика и математика (проф. направление Педагогика на обучението по ...),0,0,6,7,15
17,SWU,2014,Педагогика на обучението по химия и физика (проф. направление Педагогика на обучението по ...),0,0,9,5,5
18,SWU,2014,Педагогика на обучението по физическо възпитание (проф. направление Педагогика на обучението по ...),0,0,52,62,24
19,SWU,2014,Педагогика на обучението по география и история (проф. направление Педагогика на обучението по ...),0,0,40,47,38
20,SWU,2014,Математика и информатика (проф. направление Педагогика на обучението по ...),3,5,0,0,0
21,SWU,2014,Физика и математика (проф. направление Педагогика на обучението по ...),3,0,0,0,0
22,SWU,2014,Химия и физика (проф. направление Педагогика на обучението по ...),1,0,0,0,0
23,SWU,2014,Български език и чужд език (проф. направление Педагогика на обучението по ...),8,12,0,0,0
24,SWU,2014,Педагогика на музикалното изкуство (проф. направление Педагогика на обучението по ...),9,4,0,0,0
25,SWU,2014,Изобразително изкуство (проф. направление Педагогика на обучението по ...),19,13,0,0,0
26,SWU,2014,"Техника технологии и предприемачество (проф. направление Педагогика на обучението по ...)",24,19,0,0,0
27,SWU,2014,Физическо възпитание и спорт (проф. направление Педагогика на обучението по ...),87,49,0,0,0
28,SWU,2014,География и история (проф. направление Педагогика на обучението по ...),10,22,0,0,0
29,SWU,2014,Английска филология (проф. направление Филология),31,42,33,27,18
30,SWU,2014,Българска филология (проф. направление Филология),62,58,76,81,35
31,SWU,2014,Приложна лингвистика (английски и немски език) (проф. направление Филология),7,11,11,11,9
32,SWU,2014,Приложна лингвистика (английски и руски език) (проф. направление Филология),15,12,13,7,11
33,SWU,2014,Приложна лингвистика (проф. направление Филология),0,0,0,0,1
34,SWU,2014,Чужд език и етнология (проф. направление Филология),0,9,13,14,12
35,SWU,2014,Приложна лингвистика (англиски и френски език) (проф. направление Филология),6,5,3,10,6
36,SWU,2014,Приложна лингвистика (английски и гръцки език) (проф. направление Филология),8,5,2,4,2
37,SWU,2014,Приложна лингвистика (немски и английски език) (проф. направление Филология),0,0,0,0,3
38,SWU,2014,Приложна лингвистика (френски и английски език) (проф. направление Филология),0,0,0,0,1
39,SWU,2014,Приложна лингвистика (руски и английски език) (проф. направление Филология),0,0,10,0,0
40,SWU,2014,Английски език и етнология (проф. направление Филология),12,0,0,0,0
41,SWU,2014,Лингвистика (проф. направление Филология),23,0,0,0,0
42,SWU,2014,История (проф. направление История и археология),0,12,28,35,35
43,SWU,2014,История и археология (проф. направление История и археология),14,0,0,0,0
44,SWU,2014,Архивистика и информационна сигурност (проф. направление История и археология),7,0,0,0,0
45,SWU,2014,Философия (проф. направление Философия),45,53,51,42,15
46,SWU,2014,"Социология (проф. направление Социология антропология и науки за културата)",76,54,61,63,15
47,SWU,2014,"Културология (проф. направление Социология антропология и науки за културата)",2,11,14,10,6
48,SWU,2014,"Култура и медии (проф. направление Социология антропология и науки за културата)",12,25,19,27,6
49,SWU,2014,"Култура и културен туризъм (проф. направление Социология антропология и науки за културата)",9,0,0,0,0
50,SWU,2014,Психология (проф. направление Психология),104,105,84,85,29
51,SWU,2014,Политология (проф. направление Политически науки),25,24,17,26,2
52,SWU,2014,Европеистика (проф. направление Политически науки),10,23,20,26,11
53,SWU,2014,Международни отношения (проф. направление Политически науки),71,66,47,61,21
54,SWU,2014,Социални дейности (проф. направление Социални дейности),65,60,53,57,21
55,SWU,2014,Връзки с обществеността (проф. направление Обществени комуникации и информационни науки),64,81,54,74,12
56,SWU,2014,Публична администрация (проф. направление Администрация и управление),109,94,65,96,45
57,SWU,2014,Стопанско управление (проф. направление Администрация и управление),114,99,65,97,33
58,SWU,2014,ПН - Икономика (за неразпределени по специалности студенти) (проф. направление Икономика),213,157,0,0,0
59,SWU,2014,Икономика на социално-културната сфера (проф. направление Икономика),0,0,0,15,18
60,SWU,2014,Маркетинг (проф. направление Икономика),0,0,26,29,13
61,SWU,2014,Международни икономически отношения (проф. направление Икономика),35,29,26,26,11
62,SWU,2014,Счетоводство и контрол (проф. направление Икономика),42,20,68,69,39
63,SWU,2014,Финанси (проф. направление Икономика),0,2,72,69,40
64,SWU,2014,Социоикономика (проф. направление Икономика),0,0,15,0,0
65,SWU,2014,Туризъм (проф. направление Туризъм),100,85,72,59,56
66,SWU,2014,Физика (проф. направление Физически науки),0,10,9,18,23
67,SWU,2014,Приложни оптични технологии (проф. направление Физически науки),1,0,0,0,0
68,SWU,2014,Метрология (проф. направление Физически науки),1,0,0,0,0
69,SWU,2014,Химия (проф. направление Химически науки),1,5,13,9,20
70,SWU,2014,Медицинска химия (проф. направление Химически науки),21,18,0,0,0
71,SWU,2014,География (проф. направление Науки за земята),15,19,29,34,33
72,SWU,2014,Екология и опазване на околната среда (проф. направление Науки за земята),47,53,36,41,25
73,SWU,2014,Информатика (проф. направление Информатика и компютърни науки),34,32,41,48,34
74,SWU,2014,Компютърни системи и технологии (проф. направление Комуникационна и компютърна техника),76,67,50,64,79
75,SWU,2014,Кинезитерапия (проф. направление Обществено здраве),52,41,48,46,4
76,SWU,2014,Логопедия (проф. направление Обществено здраве),22,22,21,28,6
77,SWU,2014,Промишлени изкуства (Мода) (проф. направление Изобразително изкуство),7,13,18,9,17
78,SWU,2014,Българска народна хореография (проф. направление Музикално и танцово изкуство),14,7,9,8,3
79,SWU,2014,Изпълнителско изкуство (народни инструменти или народно пеене) (проф. направление Музикално и танцово изкуство),9,7,6,6,1
80,SWU,2014,Изпълнителско изкуство (поп и джаз пеене) (проф. направление Музикално и танцово изкуство),3,2,3,0,0
81,SWU,2014,Съвременна хореография (проф. направление Музикално и танцово изкуство),13,0,0,0,0
82,SWU,2014,Филмов и телевизионен монтаж (проф. направление Театрално и филмово изкуство),10,8,10,7,4
83,SWU,2014,Филмова и телевизионна режисура (проф. направление Театрално и филмово изкуство),10,5,8,10,3
84,SWU,2014,Филмово и телевизионно операторство (проф. направление Театрално и филмово изкуство),12,14,4,11,6
85,SWU,2014,Актьорско майсторство (проф. направление Театрално и филмово изкуство),8,8,14,11,0
0,SWU,2015,,първи курс,втори курс,трети курс,четвърти курс,дипломант (отчислен с право на дипломиране)
1,SWU,2015,Начална училищна педагогика и чужд език (проф. направление Педагогика),26,26,24,15,13
2,SWU,2015,Педагогика (проф. направление Педагогика),0,0,0,0,11
3,SWU,2015,Предучилищна и начална училищна педагогика (проф. направление Педагогика),166,117,91,87,22
4,SWU,2015,Предучилищна педагогика и чужд език (проф. направление Педагогика),28,19,26,28,22
5,SWU,2015,Социална педагогика (проф. направление Педагогика),20,13,29,27,13
6,SWU,2015,Специална педагогика (проф. направление Педагогика),7,16,17,8,9
7,SWU,2015,Начална училищна педагогика (проф. направление Педагогика),0,0,1,1,1
8,SWU,2015,Предучилищна педагогика (проф. направление Педагогика),0,0,0,0,1
9,SWU,2015,Педагогика и образователен мениджмънт (проф. направление Педагогика),11,15,8,13,0
10,SWU,2015,Педагогика на обучението по български език и чужд език (проф. направление Педагогика на обучението по ...),0,0,0,11,0
11,SWU,2015,Педагогика на обучението по изобразително изкуство (проф. направление Педагогика на обучението по ...),0,0,0,14,6
12,SWU,2015,Педагогика на обучението по математика и информатика (проф. направление Педагогика на обучението по ...),0,0,0,7,12
13,SWU,2015,Педагогика на обучението по музика (проф. направление Педагогика на обучението по ...),0,0,0,10,4
14,SWU,2015,Педагогика на обучението по техника и технологии (проф. направление Педагогика на обучението по ...),0,0,0,27,13
15,SWU,2015,Педагогика на обучението по физика и математика (проф. направление Педагогика на обучението по ...),0,0,0,5,5
16,SWU,2015,Педагогика на обучението по химия и физика (проф. направление Педагогика на обучението по ...),0,0,0,4,8
17,SWU,2015,Педагогика на обучението по физическо възпитание (проф. направление Педагогика на обучението по ...),0,0,0,49,32
18,SWU,2015,Педагогика на обучението по география и история (проф. направление Педагогика на обучението по ...),0,0,0,36,56
19,SWU,2015,Математика и информатика (проф. направление Педагогика на обучението по ...),2,2,4,0,0
20,SWU,2015,Физика и математика (проф. направление Педагогика на обучението по ...),0,2,0,0,0
21,SWU,2015,Химия и физика (проф. направление Педагогика на обучението по ...),0,0,1,0,0
22,SWU,2015,Български език и чужд език (проф. направление Педагогика на обучението по ...),3,7,10,0,0
23,SWU,2015,Педагогика на музикалното изкуство (проф. направление Педагогика на обучението по ...),5,7,3,0,0
24,SWU,2015,Изобразително изкуство (проф. направление Педагогика на обучението по ...),11,17,10,0,0
25,SWU,2015,"Техника технологии и предприемачество (проф. направление Педагогика на обучението по ...)",13,16,16,0,0
26,SWU,2015,Физическо възпитание и спорт (проф. направление Педагогика на обучението по ...),49,63,43,0,0
27,SWU,2015,География и история (проф. направление Педагогика на обучението по ...),12,9,20,0,0
28,SWU,2015,Английска филология (проф. направление Филология),33,28,36,29,22
29,SWU,2015,Българска филология (проф. направление Филология),45,54,56,72,58
30,SWU,2015,Приложна лингвистика (английски и немски език) (проф. направление Филология),12,7,12,10,6
31,SWU,2015,Приложна лингвистика (английски и руски език) (проф. направление Филология),7,13,10,13,9
32,SWU,2015,Чужд език и етнология (проф. направление Филология),0,0,8,10,12
33,SWU,2015,Приложна лингвистика (англиски и френски език) (проф. направление Филология),7,5,6,3,9
34,SWU,2015,Приложна лингвистика (английски и гръцки език) (проф. направление Филология),2,6,4,1,3
35,SWU,2015,Приложна лингвистика (френски и английски език) (проф. направление Филология),0,0,0,0,1
36,SWU,2015,Приложна лингвистика (руски и английски език) (проф. направление Филология),0,0,0,9,0
37,SWU,2015,Английски език и етнология (проф. направление Филология),5,9,0,0,0
38,SWU,2015,Лингвистика (проф. направление Филология),19,21,0,0,0
39,SWU,2015,История (проф. направление История и археология),8,0,9,23,33
40,SWU,2015,История и археология (проф. направление История и археология),5,10,0,0,0
41,SWU,2015,Архивистика и информационна сигурност (проф. направление История и археология),8,6,0,0,0
42,SWU,2015,Философия (проф. направление Философия),34,34,50,47,20
43,SWU,2015,"Социология (проф. направление Социология антропология и науки за културата)",54,63,49,61,23
44,SWU,2015,"Културология (проф. направление Социология антропология и науки за културата)",1,3,10,14,3
45,SWU,2015,"Култура и медии (проф. направление Социология антропология и науки за културата)",20,11,23,17,6
46,SWU,2015,"Култура и културен туризъм (проф. направление Социология антропология и науки за културата)",6,9,0,0,0
47,SWU,2015,Психология (проф. направление Психология),112,97,99,81,40
48,SWU,2015,Политология (проф. направление Политически науки),20,21,22,16,6
49,SWU,2015,Европеистика (проф. направление Политически науки),4,8,17,18,13
50,SWU,2015,Международни отношения (проф. направление Политически науки),52,52,60,46,18
51,SWU,2015,Социални дейности (проф. направление Социални дейности),60,55,59,49,29
52,SWU,2015,Връзки с обществеността (проф. направление Обществени комуникации и информационни науки),59,60,64,57,22
53,SWU,2015,Публична администрация (проф. направление Администрация и управление),106,103,90,68,33
54,SWU,2015,Стопанско управление (проф. направление Администрация и управление),96,104,94,68,50
55,SWU,2015,ПН - Икономика (за неразпределени по специалности студенти) (проф. направление Икономика),219,181,0,0,0
56,SWU,2015,Икономика на социално-културната сфера (проф. направление Икономика),0,0,0,1,20
57,SWU,2015,Маркетинг (проф. направление Икономика),0,0,25,26,10
58,SWU,2015,Международни икономически отношения (проф. направление Икономика),22,27,31,22,23
59,SWU,2015,Счетоводство и контрол (проф. направление Икономика),38,36,61,65,40
60,SWU,2015,Финанси (проф. направление Икономика),0,2,63,72,46
61,SWU,2015,Социоикономика (проф. направление Икономика),0,0,18,14,0
62,SWU,2015,Туризъм (проф. направление Туризъм),87,86,77,66,70
63,SWU,2015,Физика (проф. направление Физически науки),0,0,10,6,32
64,SWU,2015,Приложни оптични технологии (проф. направление Физически науки),12,1,0,0,0
65,SWU,2015,Метрология (проф. направление Физически науки),3,0,0,0,0
66,SWU,2015,Химия (проф. направление Химически науки),2,1,2,15,18
67,SWU,2015,Медицинска химия (проф. направление Химически науки),14,18,16,0,0
68,SWU,2015,География (проф. направление Науки за земята),0,12,19,28,36
69,SWU,2015,Екология и опазване на околната среда (проф. направление Науки за земята),19,40,41,37,35
70,SWU,2015,Информатика (проф. направление Информатика и компютърни науки),17,29,28,42,37
71,SWU,2015,Информационни системи и технологии (проф. направление Информатика и компютърни науки),29,0,0,0,0
72,SWU,2015,"Моделиране технологии и мениджмънт в шевната индустрия (проф. направление Машинно инженерство)",10,11,12,43,0
73,SWU,2015,"Електроника (проф. направление Електротехника електроника и автоматика)",13,10,17,35,0
