indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:12 +0200] "GET /shell.php HTTP/1.1" 301 602 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:12 +0200] "GET /htdocs.php HTTP/1.1" 301 604 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:12 +0200] "GET /desktop.ini.php HTTP/1.1" 301 614 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:13 +0200] "GET /z.php HTTP/1.1" 301 594 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:13 +0200] "GET /lala.php HTTP/1.1" 301 600 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:13 +0200] "GET /lala-dpr.php HTTP/1.1" 301 608 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:13 +0200] "GET /wpo.php HTTP/1.1" 301 598 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:14 +0200] "GET /text.php HTTP/1.1" 301 600 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:14 +0200] "GET /wp-config.php HTTP/1.1" 301 610 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
indico.iaps.institute:80 103.75.189.141 - - [06/Nov/2018:15:16:14 +0200] "GET /muhstik.php HTTP/1.1" 301 606 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Safari/537.36"
